sortedNodeID,originalNodeID,NodeGrouping,Node ,AAc-6,regionName,regionLongName,regionIdLabel,LR,region,Lobe,cortex,regionID,Cortex_ID,x-cog,y-cog,z-cog,volmm,broad_region
116,201,12,R_LO2_ROI,Visual,LO2_R,Area_Lateral_Occipital_2_R,221_R,R,LO2,Occ,MT+_Complex_and_Neighboring_Visual_Areas,221,5,44.07,44.375,67.918333,600,Early_and_Intermediate_Visual_Cortex
117,203,12,R_MT_ROI,Visual,MT_R,Middle_Temporal_Area_R,223_R,R,MT,Occ,MT+_Complex_and_Neighboring_Visual_Areas,223,5,38.58547,57.830484,80.888889,702,Early_and_Intermediate_Visual_Cortex
118,318,12,R_PH_ROI,Visual,PH_R,Area_PH_R,338_R,R,PH,Temp,MT+_Complex_and_Neighboring_Visual_Areas,338,5,41.367731,64.734587,61.13861,2287,Early_and_Intermediate_Visual_Cortex
119,336,12,R_V4t_ROI,Visual,V4t_R,Area_V4t_R,356_R,R,V4t,Occ,MT+_Complex_and_Neighboring_Visual_Areas,356,5,41.209816000000000,53.52638,69.720245,815,Early_and_Intermediate_Visual_Cortex
120,337,12,R_FST_ROI,Visual,FST_R,Area_FST_R,357_R,R,FST,Occ,MT+_Complex_and_Neighboring_Visual_Areas,357,5,38.91249,62.962609,72.511535,1257,Early_and_Intermediate_Visual_Cortex
121,338,12,R_V3CD_ROI,Visual,V3CD_R,Area_V3CD_R,358_R,R,V3CD,Occ,MT+_Complex_and_Neighboring_Visual_Areas,358,5,51.141138,43.050328,83.778993,914,Early_and_Intermediate_Visual_Cortex
122,339,12,R_LO3_ROI,Visual,LO3_R,Area_Lateral_Occipital_3_R,359_R,R,LO3,Par,MT+_Complex_and_Neighboring_Visual_Areas,359,5,41.930187,53.481809,85.433628,1017,Early_and_Intermediate_Visual_Cortex
123,1,18,L_V1_ROI,Visual,V1_L,Primary_Visual_Cortex_L,1_L,L,V1,Occ,Primary_Visual,1,1,100.491589,41.138901,71.63704,6717,Early_and_Intermediate_Visual_Cortex
124,181,18,R_V1_ROI,Visual,V1_R,Primary_Visual_Cortex_R,201_R,R,V1,Occ,Primary_Visual,201,1,78.060375,44.539286,74.333474,7089,Early_and_Intermediate_Visual_Cortex
125,7,22,L_V8_ROI,Visual,V8_L,Eighth_Visual_Area_L,7_L,L,V8,Occ,Ventral_Stream_Visual,7,4,123.013193,51.8927,56.759015,1137,Early_and_Intermediate_Visual_Cortex
126,18,22,L_FFC_ROI,Visual,FFC_L,Fusiform_Face_Complex_L,18_L,L,FFC,Temp,Ventral_Stream_Visual,18,4,133.940136,69.78536,52.618797,3224,Early_and_Intermediate_Visual_Cortex
127,22,22,L_PIT_ROI,Visual,PIT_L,Posterior_InferoTemporal_complex_L,22_L,L,PIT,Occ,Ventral_Stream_Visual,22,4,137.394161,48.92805,61.153285,959,Early_and_Intermediate_Visual_Cortex
128,153,22,L_VMV1_ROI,Visual,VMV1_L,VentroMedial_Visual_Area_1_L,153_L,L,VMV1,Occ,Ventral_Stream_Visual,153,4,110.244105,74.319001,64.307906,721,Early_and_Intermediate_Visual_Cortex
129,154,22,L_VMV3_ROI,Visual,VMV3_L,VentroMedial_Visual_Area_3_L,154_L,L,VMV3,Occ,Ventral_Stream_Visual,154,4,119.618762,64.508982,61.017964,501,Early_and_Intermediate_Visual_Cortex
130,160,22,L_VMV2_ROI,Visual,VMV2_L,VentroMedial_Visual_Area_2_L,160_L,L,VMV2,Occ,Ventral_Stream_Visual,160,4,119.360502,74.39185,66.366771,319,Early_and_Intermediate_Visual_Cortex
131,163,22,L_VVC_ROI,Visual,VVC_L,Ventral_Visual_Complex_L,163_L,L,VVC,Temp,Ventral_Stream_Visual,163,4,121.913003,74.920407,53.816752,2161,Early_and_Intermediate_Visual_Cortex
132,187,22,R_V8_ROI,Visual,V8_R,Eighth_Visual_Area_R,207_R,R,V8,Occ,Ventral_Stream_Visual,207,4,60.698264,51.949266,59.301736,749,Early_and_Intermediate_Visual_Cortex
133,198,22,R_FFC_ROI,Visual,FFC_R,Fusiform_Face_Complex_R,218_R,R,FFC,Temp,Ventral_Stream_Visual,218,4,49.72947,75.126159,51.324834,3020,Early_and_Intermediate_Visual_Cortex
134,202,22,R_PIT_ROI,Visual,PIT_R,Posterior_InferoTemporal_complex_R,222_R,R,PIT,Occ,Ventral_Stream_Visual,222,4,44.641614,49.954905,58.057753,1264,Early_and_Intermediate_Visual_Cortex
135,333,22,R_VMV1_ROI,Visual,VMV1_R,VentroMedial_Visual_Area_1_R,353_R,R,VMV1,Occ,Ventral_Stream_Visual,353,4,71.942782,73.198944,63.584507,1136,Early_and_Intermediate_Visual_Cortex
